OBJECTID;Codigo Municipio;Nombre Municipio;Nombre Departamento;Valor Riesgo CC;Riesgo CC;Vulnerabilidad Vs Amenaza;Area Ha;Simbologia;st_area(shape);st_length(shape)
285;15638;SÁCHICA;BOYACÁ;0.235188;Medio;15;6339.768890;Medio5;0.005174;0.373401
286;18150;CARTAGENA DEL CHAIRÁ;CAQUETÁ;0.110250;Muy bajo;1;1277007.540720;Muy bajo1;1.037463;9.274847
287;18205;CURILLO;CAQUETÁ;0.206961;Medio;13;48872.158065;Medio3;0.039668;1.734208
288;18247;EL DONCELLO;CAQUETÁ;0.154351;Muy bajo;5;110586.629625;Muy bajo5;0.089851;2.926620
289;15646;SAMACÁ;BOYACÁ;0.218351;Medio;14;17098.701894;Medio4;0.013952;0.671317
290;18479;MORELIA;CAQUETÁ;0.171104;Bajo;8;47500.756978;Bajo3;0.038571;1.314021
291;18592;PUERTO RICO;CAQUETÁ;0.168205;Bajo;7;414560.378337;Bajo2;0.336897;4.101094
292;18610;SAN JOSÉ DEL FRAGUA;CAQUETÁ;0.126339;Muy bajo;1;123955.884336;Muy bajo1;0.100601;1.991942
293;18753;SAN VICENTE DEL CAGUÁN;CAQUETÁ;0.168036;Bajo;7;1751289.402480;Bajo2;1.423247;10.602021
294;18756;SOLANO;CAQUETÁ;0.145691;Muy bajo;3;4231753.387580;Muy bajo3;3.436173;20.079920
295;18785;SOLITA;CAQUETÁ;0.210728;Medio;14;69475.057439;Medio4;0.056406;1.523249
296;18860;VALPARAÍSO;CAQUETÁ;0.218659;Medio;14;103030.898394;Medio4;0.083657;2.166102
297;19001;POPAYÁN;CAUCA;0.262224;Alto;17;48016.492971;Alto2;0.038969;1.211087
298;19022;ALMAGUER;CAUCA;0.176587;Bajo;10;23791.552634;Bajo5;0.019294;0.699508
299;15660;SAN EDUARDO;BOYACÁ;0.224876;Medio;15;10759.397726;Medio5;0.008774;0.443212
300;15798;TENZA;BOYACÁ;0.224679;Medio;15;4605.156210;Medio5;0.003755;0.306655
301;19142;CALOTO;CAUCA;0.269458;Alto;18;26683.713257;Alto3;0.021673;1.340141
302;19212;CORINTO;CAUCA;0.188440;Medio;11;32619.088915;Medio1;0.026502;0.821119
303;19256;EL TAMBO;CAUCA;0.173438;Bajo;9;273649.254488;Bajo4;0.221943;2.985720
304;15664;SAN JOSÉ DE PARE;BOYACÁ;0.183996;Medio;11;7242.384367;Medio1;0.005915;0.350216
305;15667;SAN LUIS DE GACENO;BOYACÁ;0.154294;Muy bajo;5;47476.848314;Muy bajo5;0.038693;1.108883
306;15808;TINJACÁ;BOYACÁ;0.187745;Medio;11;8209.729235;Medio1;0.006700;0.358893
307;19780;SUÁREZ;CAUCA;0.209385;Medio;14;59386.111171;Medio4;0.048205;1.542941
308;19785;SUCRE;CAUCA;0.137644;Muy bajo;2;13572.187414;Muy bajo2;0.011006;0.741132
309;19807;TIMBÍO;CAUCA;0.215435;Medio;14;20222.202251;Medio4;0.016408;0.881242
310;19809;TIMBIQUÍ;CAUCA;0.126630;Muy bajo;1;206192.276807;Muy bajo1;0.167096;2.487031
311;19821;TORIBÍO;CAUCA;0.183027;Medio;11;48845.654273;Medio1;0.039680;0.989787
312;19824;TOTORÓ;CAUCA;0.231090;Medio;15;40478.904101;Medio5;0.032862;1.263555
313;19845;VILLA RICA;CAUCA;0.292732;Alto;18;8125.133126;Alto3;0.006599;0.636505
314;25120;CABRERA;CUNDINAMARCA;0.159644;Muy bajo;5;42178.353206;Muy bajo5;0.034343;0.977868
315;20001;VALLEDUPAR;CESAR;0.205287;Medio;13;418125.738496;Medio3;0.345155;4.564053
316;20011;AGUACHICA;CESAR;0.218447;Medio;14;87777.318941;Medio4;0.072032;1.907900
317;20013;AGUSTÍN CODAZZI;CESAR;0.151682;Muy bajo;4;175493.029671;Muy bajo4;0.144659;2.585781
318;20032;ASTREA;CESAR;0.143983;Muy bajo;3;63745.448460;Muy bajo3;0.052489;1.270548
319;20045;BECERRILL;CESAR;0.220981;Medio;14;122302.384150;Medio4;0.100749;2.319876
320;20060;BOSCONIA;CESAR;0.164811;Bajo;7;58780.482029;Bajo2;0.048462;1.054072
321;20175;CHIMICHAGUA;CESAR;0.187107;Medio;11;138181.089664;Medio1;0.113686;2.388591
322;20178;CHIRIGUANÁ;CESAR;0.239132;Medio;15;111579.629930;Medio5;0.091847;2.333107
323;20228;CURUMANÍ;CESAR;0.156133;Muy bajo;5;91402.881548;Muy bajo5;0.075199;1.527847
324;20238;EL COPEY;CESAR;0.181478;Medio;11;95714.986850;Medio1;0.078975;1.564048
325;20250;EL PASO;CESAR;0.180877;Medio;11;81056.127069;Medio1;0.066775;2.031417
326;25123;CACHIPAY;CUNDINAMARCA;0.160332;Muy bajo;5;5217.233288;Muy bajo5;0.004252;0.396904
327;25148;CAPARRAPÍ;CUNDINAMARCA;0.168511;Bajo;7;61585.135628;Bajo2;0.050245;1.155038
328;25154;CARMEN DE CARUPA;CUNDINAMARCA;0.149096;Muy bajo;3;29733.496232;Muy bajo3;0.024258;0.874021
329;25168;CHAGUANÍ;CUNDINAMARCA;0.181639;Medio;11;17386.896689;Medio1;0.014175;0.614488
330;15764;SORACÁ;BOYACÁ;0.152192;Muy bajo;4;5589.946276;Muy bajo4;0.004561;0.351179
331;25175;CHÍA;CUNDINAMARCA;0.243126;Alto;16;7938.083224;Alto1;0.006472;0.457653
332;15696;SANTA SOFÍA;BOYACÁ;0.175402;Bajo;9;7846.745650;Bajo4;0.006406;0.397258
333;15720;SATIVANORTE;BOYACÁ;0.154966;Muy bajo;5;16148.185595;Muy bajo5;0.013185;0.680011
334;25178;CHIPAQUE;CUNDINAMARCA;0.181683;Medio;11;15017.126445;Medio1;0.012236;0.685130
335;15776;SUTAMARCHÁN;BOYACÁ;0.220240;Medio;14;10057.724373;Medio4;0.008209;0.446495
336;25181;CHOACHÍ;CUNDINAMARCA;0.161646;Bajo;6;21291.729633;Bajo1;0.017351;0.736797
337;25183;CHOCONTÁ;CUNDINAMARCA;0.173641;Bajo;9;30243.619533;Bajo4;0.024665;1.027103
338;15673;SAN MATEO;BOYACÁ;0.142691;Muy bajo;3;12492.514615;Muy bajo3;0.010204;0.518399
339;15676;SAN MIGUEL DE SEMA;BOYACÁ;0.185724;Medio;11;9510.403598;Medio1;0.007761;0.449457
340;15681;SAN PABLO DE BORBUR;BOYACÁ;0.124877;Muy bajo;1;19566.222294;Muy bajo1;0.015972;0.629791
341;15778;SUTATENZA;BOYACÁ;0.167558;Bajo;7;4033.186846;Bajo2;0.003288;0.296526
342;15686;SANTANA;BOYACÁ;0.204953;Medio;13;7254.109538;Medio3;0.005925;0.344702
343;15690;SANTA MARÍA;BOYACÁ;0.152317;Muy bajo;4;31006.871473;Muy bajo4;0.025272;1.029752
344;15693;SANTA ROSA DE VITERBO;BOYACÁ;0.144493;Muy bajo;3;11803.790201;Muy bajo3;0.009636;0.712803
345;15723;SATIVASUR;BOYACÁ;0.157036;Muy bajo;5;5360.396284;Muy bajo5;0.004376;0.438322
346;15740;SIACHOQUE;BOYACÁ;0.154722;Muy bajo;5;11944.471289;Muy bajo5;0.009745;0.480965
347;15753;SOATÁ;BOYACÁ;0.169058;Bajo;8;12342.729199;Bajo3;0.010081;0.501400
348;15755;SOCOTÁ;BOYACÁ;0.171460;Bajo;8;59296.821919;Bajo3;0.048392;1.193643
349;15757;SOCHA;BOYACÁ;0.144764;Muy bajo;3;14983.542294;Muy bajo3;0.012230;0.557391
350;15759;SOGAMOSO;BOYACÁ;0.217668;Medio;14;20888.005767;Medio4;0.017043;0.702956
351;15761;SOMONDOCO;BOYACÁ;0.191023;Medio;12;5765.328301;Medio2;0.004700;0.351442
352;15763;SOTAQUIRÁ;BOYACÁ;0.140197;Muy bajo;2;28445.419859;Muy bajo2;0.023220;0.870548
353;15774;SUSACÓN;BOYACÁ;0.183927;Medio;11;18335.365541;Medio1;0.014973;0.729282
354;15790;TASCO;BOYACÁ;0.128097;Muy bajo;2;21026.316207;Muy bajo2;0.017160;0.795071
355;20310;GONZÁLEZ;CESAR;0.170605;Bajo;8;7482.680094;Bajo3;0.006142;0.413930
356;20383;LA GLORIA;CESAR;0.233375;Medio;15;80167.650186;Medio5;0.065849;1.830679
357;20400;LA JAGUA DE IBIRICO;CESAR;0.180301;Medio;11;75163.582686;Medio1;0.061888;1.831818
358;15804;TIBANÁ;BOYACÁ;0.141904;Muy bajo;2;12163.832694;Muy bajo2;0.009922;0.545724
359;20621;LA PAZ;CESAR;0.211019;Medio;14;107106.596509;Medio4;0.088343;3.184942
360;20710;SAN ALBERTO;CESAR;0.239997;Medio;15;55004.699457;Medio5;0.045089;1.443776
361;20750;SAN DIEGO;CESAR;0.158115;Muy bajo;5;64841.217254;Muy bajo5;0.053486;2.030338
362;20770;SAN MARTÍN;CESAR;0.204315;Medio;13;99461.207120;Medio3;0.081557;2.037220
363;20787;TAMALAMEQUE;CESAR;0.163715;Bajo;6;51271.643865;Bajo1;0.042147;1.003521
364;23001;MONTERÍA;CÓRDOBA;0.288886;Alto;18;315182.463735;Alto3;0.258608;3.635098
365;23068;AYAPEL;CÓRDOBA;0.211906;Medio;14;193440.697492;Medio4;0.158711;2.172196
366;23079;BUENAVISTA;CÓRDOBA;0.185711;Medio;11;84020.024461;Medio1;0.068905;1.760124
367;23090;CANALETE;CÓRDOBA;0.166022;Bajo;7;41991.786601;Bajo2;0.034455;1.273730
368;23162;CERETÉ;CÓRDOBA;0.290414;Alto;18;28985.462260;Alto3;0.023805;1.483278
369;15806;TIBASOSA;BOYACÁ;0.153906;Muy bajo;5;9415.126617;Muy bajo5;0.007684;0.490826
370;15810;TIPACOQUE;BOYACÁ;0.210555;Medio;14;7236.616415;Medio4;0.005912;0.371279
371;15762;SORA;BOYACÁ;0.178283;Bajo;10;4738.807490;Bajo5;0.003867;0.290293
372;15814;TOCA;BOYACÁ;0.196780;Medio;12;16966.033519;Medio2;0.013844;0.535720
373;25200;COGUA;CUNDINAMARCA;0.229806;Medio;15;13343.762685;Medio5;0.010883;0.617234
374;25214;COTA;CUNDINAMARCA;0.311020;Alto;19;5427.828240;Alto4;0.004425;0.509077
375;25245;EL COLEGIO;CUNDINAMARCA;0.180631;Medio;11;11764.968649;Medio1;0.009587;0.502020
376;25258;EL PEÑÓN;CUNDINAMARCA;0.188885;Medio;11;13595.362742;Medio1;0.011090;0.601790
377;25260;EL ROSAL;CUNDINAMARCA;0.251042;Alto;17;8643.406921;Alto2;0.007047;0.386979
378;15500;OICATÁ;BOYACÁ;0.168934;Bajo;8;6034.310381;Bajo3;0.004924;0.330059
379;15511;PACHAVITA;BOYACÁ;0.254266;Alto;17;6585.245055;Alto2;0.005370;0.341186
380;15533;PAYA;BOYACÁ;0.134051;Muy bajo;2;44338.361639;Muy bajo2;0.036158;1.112403
381;15522;PANQUEBA;BOYACÁ;0.145101;Muy bajo;3;4015.864604;Muy bajo3;0.003280;0.324321
382;15531;PAUNA;BOYACÁ;0.131001;Muy bajo;2;25266.914057;Muy bajo2;0.020626;0.881344
383;15550;PISVA;BOYACÁ;0.122606;Muy bajo;1;46570.675462;Muy bajo1;0.037989;1.001110
384;15572;PUERTO BOYACÁ;BOYACÁ;0.225315;Medio;15;150723.805457;Medio5;0.123090;2.345388
385;15580;QUÍPAMA;BOYACÁ;0.136747;Muy bajo;2;16743.321556;Muy bajo2;0.013665;0.827974
386;15599;RAMIRIQUÍ;BOYACÁ;0.135359;Muy bajo;2;12646.022099;Muy bajo2;0.010315;0.751785
387;15537;PAZ DE RIO;BOYACÁ;0.155869;Muy bajo;5;12357.225493;Muy bajo5;0.010088;0.502139
388;15542;PESCA;BOYACÁ;0.153073;Muy bajo;5;26220.973766;Muy bajo5;0.021392;0.925452
389;15600;RÁQUIRA;BOYACÁ;0.184604;Medio;11;21860.624191;Medio1;0.017839;0.697668
390;15621;RONDÓN;BOYACÁ;0.175447;Bajo;9;20653.358260;Bajo4;0.016847;0.682162
391;15632;SABOYÁ;BOYACÁ;0.195648;Medio;12;24396.078135;Medio2;0.019915;0.767068
392;15822;TOTA;BOYACÁ;0.159270;Muy bajo;5;19607.964075;Muy bajo5;0.015996;0.718468
393;15835;TURMEQUÉ;BOYACÁ;0.183621;Medio;11;7959.578341;Medio1;0.006493;0.390379
394;15837;TUTA;BOYACÁ;0.220824;Medio;14;16466.642663;Medio4;0.013438;0.667253
395;15839;TUTAZÁ;BOYACÁ;0.161002;Bajo;6;12180.949598;Bajo1;0.009946;0.483967
396;15842;ÚMBITA;BOYACÁ;0.172000;Bajo;8;14583.833121;Bajo3;0.011895;0.541350
397;15861;VENTAQUEMADA;BOYACÁ;0.148571;Muy bajo;3;15783.051069;Muy bajo3;0.012876;0.643869
398;25286;FUNZA;CUNDINAMARCA;0.284004;Alto;18;6718.173809;Alto3;0.005476;0.401302
399;25317;GUACHETÁ;CUNDINAMARCA;0.237569;Medio;15;17173.416781;Medio5;0.014011;0.596149
400;25320;GUADUAS;CUNDINAMARCA;0.243052;Alto;16;76293.000952;Alto1;0.062222;1.532116
401;25322;GUASCA;CUNDINAMARCA;0.138589;Muy bajo;2;36280.854033;Muy bajo2;0.029575;0.890111
402;15879;VIRACACHÁ;BOYACÁ;0.142563;Muy bajo;3;6241.843950;Muy bajo3;0.005092;0.332274
403;15897;ZETAQUIRÁ;BOYACÁ;0.165512;Bajo;7;25067.238836;Bajo2;0.020444;0.879226
404;17001;MANIZALES;CALDAS;0.266318;Alto;18;44259.223509;Alto3;0.036072;1.347183
405;17013;AGUADAS;CALDAS;0.179322;Bajo;10;47594.571094;Bajo5;0.038824;1.329887
406;17042;ANSERMA;CALDAS;0.222628;Medio;15;20872.713440;Medio5;0.017011;0.894080
407;17050;ARANZAZU;CALDAS;0.192876;Medio;12;14881.600868;Medio2;0.012133;0.679324
408;17513;PÁCORA;CALDAS;0.201448;Medio;13;25940.096833;Medio3;0.021156;0.742951
