"provincia","seccion","archivo","hoja","tipo","filas","columnas"
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","_fig_03","datos de figura",6,3
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","_fig_04","datos de figura",6,2
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","_fig_05","datos de figura",16,3
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","_mapa10_homicidios","datos de figura",6,3
"Agroindustrial del Occidente","10_Seguridad","seguridad.xlsx","_mapa10_homicidios_dpto","datos de figura",88,3
"Bioenergética del Norte de Antioquia","01_Generalidades","distribucion_territorial.xlsx","distribucion_territorial","tabla",16,6
"Bioenergética del Norte de Antioquia","01_Generalidades","distribucion_territorial.xlsx","_fig_01","datos de figura",13,3
"Bioenergética del Norte de Antioquia","01_Generalidades","distribucion_territorial.xlsx","_mapa00_localizacion","datos de figura",13,4
"Bioenergética del Norte de Antioquia","01_Generalidades","distribucion_territorial.xlsx","_mapa01_area","datos de figura",13,3
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","poblacion","tabla",16,13
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","estructura_edad","tabla",14,33
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","natalidad_mortalidad","tabla",16,7
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","migracion","tabla",16,7
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","_fig_01","datos de figura",13,3
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","_fig_02","datos de figura",13,5
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","_fig_03","datos de figura",13,3
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","_fig_04","datos de figura",18,3
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","_fig_05","datos de figura",13,2
"Bioenergética del Norte de Antioquia","02_Demografia","demografia.xlsx","_mapa02_densidad","datos de figura",13,4
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","deficit_vivienda","tabla",16,6
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","servicios_publicos","tabla",16,16
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","vias_area","tabla",14,7
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","vias_habitantes","tabla",14,7
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","catastro","tabla",14,11
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","imca","tabla",16,16
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","gobierno_digital","tabla",15,16
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","tti_edsup","tabla",14,5
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","internet_2025","tabla",14,8
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","uso_suelo_rural","tabla",13,5
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_01","datos de figura",13,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_02","datos de figura",13,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_03","datos de figura",39,3
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_04","datos de figura",39,3
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_05","datos de figura",13,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_06","datos de figura",13,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_07","datos de figura",12,3
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_08","datos de figura",22,3
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_09","datos de figura",13,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_10","datos de figura",12,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_11","datos de figura",11,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_12","datos de figura",13,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_13","datos de figura",13,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_fig_14","datos de figura",13,2
"Bioenergética del Norte de Antioquia","03_Ordenamiento","ordenamiento.xlsx","_mapa03_deficit_vivienda","datos de figura",13,4
"Bioenergética del Norte de Antioquia","04_Gobernabilidad","gobernabilidad.xlsx","mdm","tabla",117,8
"Bioenergética del Norte de Antioquia","04_Gobernabilidad","gobernabilidad.xlsx","idf","tabla",13,9
"Bioenergética del Norte de Antioquia","04_Gobernabilidad","gobernabilidad.xlsx","ley617","tabla",142,9
"Bioenergética del Norte de Antioquia","04_Gobernabilidad","gobernabilidad.xlsx","icm","tabla",240,12
"Bioenergética del Norte de Antioquia","04_Gobernabilidad","gobernabilidad.xlsx","_fig_01","datos de figura",13,4
"Bioenergética del Norte de Antioquia","04_Gobernabilidad","gobernabilidad.xlsx","_fig_02","datos de figura",13,5
"Bioenergética del Norte de Antioquia","04_Gobernabilidad","gobernabilidad.xlsx","_fig_03","datos de figura",12,5
"Bioenergética del Norte de Antioquia","04_Gobernabilidad","gobernabilidad.xlsx","_fig_04","datos de figura",13,8
"Bioenergética del Norte de Antioquia","04_Gobernabilidad","gobernabilidad.xlsx","_fig_05","datos de figura",18,3
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","extranjeros_municipio","tabla",157,7
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","comparativo_pap_antioquia","tabla",12,5
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","ecv_pobreza","tabla",16,10
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","ecv_ipm","tabla",16,8
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","ecv_gini","tabla",16,16
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","ecv_ocupacion_informal","tabla",16,16
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","ecv_desocupacion_nini","tabla",16,10
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","turismo_instrumentos","tabla",13,8
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","dependencia_economica","tabla",16,5
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","densidad_empresarial","tabla",14,5
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","valor_agregado","tabla",140,15
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","va_actividades","tabla",140,17
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","energia_tecnologia","tabla",5,3
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","energia_centrales","tabla",12,11
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","energia_participacion","tabla",3,4
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","titulos_mineros","tabla",33,3
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_01","datos de figura",13,2
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_02","datos de figura",13,2
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_03","datos de figura",13,3
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_04","datos de figura",13,3
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_05","datos de figura",13,3
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_06","datos de figura",13,2
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_07","datos de figura",13,2
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_08","datos de figura",13,2
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_09","datos de figura",13,5
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_10","datos de figura",13,4
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_11","datos de figura",13,5
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_12","datos de figura",12,2
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_13","datos de figura",11,2
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_14","datos de figura",35,3
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_fig_15","datos de figura",7,4
"Bioenergética del Norte de Antioquia","05_Economia","economia.xlsx","_mapa05_va_percapita","datos de figura",13,4
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","inventario_pecuario","tabla",112,12
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","participacion_municipal","tabla",91,7
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","composicion_especies","tabla",91,11
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","area_km2","tabla",14,5
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","principales_cultivos","tabla",91,6
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","composicion_agricola","tabla",98,12
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","rendimiento","tabla",98,8
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_01","datos de figura",13,4
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_02","datos de figura",52,3
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_03","datos de figura",26,4
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_04","datos de figura",13,6
"Bioenergética del Norte de Antioquia","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_05","datos de figura",13,5
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","detalle","tabla",9,8
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","irca","tabla",251,11
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","eventos_tipo","tabla",97,6
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","eventos_año","tabla",69,6
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","desastres_selectos","tabla",15,10
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","imrc","tabla",15,6
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","perdida_cobertura","tabla",16,5
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","_fig_01","datos de figura",7,3
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","_fig_02","datos de figura",13,4
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","_fig_03","datos de figura",18,3
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","_fig_04","datos de figura",13,2
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","_fig_05","datos de figura",18,2
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","_fig_06","datos de figura",6,2
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","_fig_07","datos de figura",13,3
"Bioenergética del Norte de Antioquia","07_Ambiental","ambiental.xlsx","_mapa07_perdida_cobertura","datos de figura",13,3
"Bioenergética del Norte de Antioquia","08_Educacion","educacion.xlsx","educacion","tabla",224,8
"Bioenergética del Norte de Antioquia","08_Educacion","educacion.xlsx","_fig_01","datos de figura",13,3
"Bioenergética del Norte de Antioquia","08_Educacion","educacion.xlsx","_fig_02","datos de figura",13,3
"Bioenergética del Norte de Antioquia","08_Educacion","educacion.xlsx","_fig_03","datos de figura",13,3
"Bioenergética del Norte de Antioquia","08_Educacion","educacion.xlsx","_mapa08_cobertura_neta","datos de figura",13,4
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","bajo_peso","tabla",16,5
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","enfermedades_tropicales","tabla",14,7
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","suicidios","tabla",16,6
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","aseguramiento_sgsss","tabla",14,10
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","mortalidad_infantil","tabla",80,6
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","_fig_01","datos de figura",13,4
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","_fig_02","datos de figura",13,2
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","_fig_03","datos de figura",13,4
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","_fig_04","datos de figura",13,3
"Bioenergética del Norte de Antioquia","09_Salud","salud.xlsx","_mapa09_mortalidad_infantil","datos de figura",13,4
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","coca","tabla",7,7
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","evoa","tabla",17,9
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","delitos","tabla",16,7
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","total_victimas","tabla",14,9
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","proporcion_hechos","tabla",17,3
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","srtdaf","tabla",16,7
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","tasas","tabla",16,7
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","P1A_barrio","tabla",8,7
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","P2_cambio_barrio","tabla",8,7
"Bioenergética del Norte de Antioquia","10_Seguridad","seguridad.xlsx","P4A_municipio","tabla",8,7
