"provincia","seccion","hoja","n_esperados","n_presentes","n_faltantes","n_ajenos","faltantes","ajenos"
"Agua, Bosques y Turismo","09_Salud","_mapa09_mortalidad_infantil",12,12,0,0,"",""
"Agua, Bosques y Turismo","10_Seguridad","coca",12,3,9,0,"5021 5197 5206 5313 5321 5440 5541 5667 5674",""
"Agua, Bosques y Turismo","10_Seguridad","evoa",12,0,12,0,"5021 5197 5206 5313 5321 5440 5541 5649 5652 5660 5667 5674",""
"Agua, Bosques y Turismo","10_Seguridad","delitos",12,12,0,0,"",""
"Agua, Bosques y Turismo","10_Seguridad","total_victimas",12,12,0,0,"",""
"Agua, Bosques y Turismo","10_Seguridad","srtdaf",12,12,0,0,"",""
"Agua, Bosques y Turismo","10_Seguridad","tasas",12,12,0,0,"",""
"Agua, Bosques y Turismo","10_Seguridad","irv",12,12,0,0,"",""
"Agua, Bosques y Turismo","10_Seguridad","desaparecidos",12,12,0,0,"",""
"Agua, Bosques y Turismo","10_Seguridad","_mapa10_homicidios",12,12,0,0,"",""
"Cartama","01_Generalidades","distribucion_territorial",11,11,0,0,"",""
"Cartama","01_Generalidades","_mapa01_area",11,11,0,0,"",""
"Cartama","02_Demografia","poblacion",11,11,0,0,"",""
"Cartama","02_Demografia","estructura_edad",11,11,0,0,"",""
"Cartama","02_Demografia","natalidad_mortalidad",11,11,0,0,"",""
"Cartama","02_Demografia","migracion",11,11,0,0,"",""
"Cartama","02_Demografia","_mapa02_densidad",11,11,0,0,"",""
"Cartama","03_Ordenamiento","deficit_vivienda",11,11,0,0,"",""
"Cartama","03_Ordenamiento","servicios_publicos",11,11,0,0,"",""
"Cartama","03_Ordenamiento","vias_area",11,11,0,0,"",""
"Cartama","03_Ordenamiento","vias_habitantes",11,11,0,0,"",""
"Cartama","03_Ordenamiento","catastro",11,11,0,0,"",""
"Cartama","03_Ordenamiento","imca",11,11,0,0,"",""
"Cartama","03_Ordenamiento","gobierno_digital",11,11,0,0,"",""
"Cartama","03_Ordenamiento","tti_edsup",11,11,0,0,"",""
"Cartama","03_Ordenamiento","internet_2025",11,11,0,0,"",""
"Cartama","03_Ordenamiento","uso_suelo_rural",11,11,0,0,"",""
"Cartama","03_Ordenamiento","_mapa03_deficit_vivienda",11,11,0,0,"",""
"Cartama","04_Gobernabilidad","mdm",11,11,0,0,"",""
"Cartama","04_Gobernabilidad","idf",11,11,0,0,"",""
"Cartama","04_Gobernabilidad","ley617",11,11,0,0,"",""
"Cartama","04_Gobernabilidad","icm",11,11,0,0,"",""
"Cartama","05_Economia","extranjeros_municipio",11,11,0,0,"",""
"Cartama","05_Economia","ecv_pobreza",11,11,0,0,"",""
"Cartama","05_Economia","ecv_ipm",11,11,0,0,"",""
"Cartama","05_Economia","ecv_gini",11,11,0,0,"",""
"Cartama","05_Economia","ecv_ocupacion_informal",11,11,0,0,"",""
"Cartama","05_Economia","ecv_desocupacion_nini",11,11,0,0,"",""
"Cartama","05_Economia","turismo_instrumentos",11,11,0,0,"",""
"Cartama","05_Economia","dependencia_economica",11,11,0,0,"",""
"Cartama","05_Economia","densidad_empresarial",11,11,0,0,"",""
"Cartama","05_Economia","valor_agregado",11,11,0,0,"",""
"Cartama","05_Economia","va_actividades",11,11,0,0,"",""
"Cartama","05_Economia","energia_centrales",11,4,7,0,"5145 5282 5390 5467 5576 5856 5861",""
"Cartama","05_Economia","_mapa05_va_percapita",11,11,0,0,"",""
"Cartama","06_Desarrollo_Rural","inventario_pecuario",11,11,0,0,"",""
"Cartama","06_Desarrollo_Rural","participacion_municipal",11,11,0,0,"",""
"Cartama","06_Desarrollo_Rural","composicion_especies",11,11,0,0,"",""
"Cartama","06_Desarrollo_Rural","area_km2",11,11,0,0,"",""
"Cartama","06_Desarrollo_Rural","composicion_agricola",11,11,0,0,"",""
"Cartama","06_Desarrollo_Rural","rendimiento",11,11,0,0,"",""
"Cartama","07_Ambiental","detalle",11,9,2,0,"5390 5856",""
"Cartama","07_Ambiental","irca",11,11,0,0,"",""
"Cartama","07_Ambiental","eventos_tipo",11,11,0,0,"",""
"Cartama","07_Ambiental","eventos_año",11,11,0,0,"",""
"Cartama","07_Ambiental","desastres_selectos",11,11,0,0,"",""
"Cartama","07_Ambiental","imrc",11,11,0,0,"",""
"Cartama","07_Ambiental","perdida_cobertura",11,11,0,0,"",""
"Cartama","07_Ambiental","_mapa07_perdida_cobertura",11,11,0,0,"",""
"Cartama","08_Educacion","educacion",11,11,0,0,"",""
